Resource,APTGroup,Entry Point,Language,Library
7b15688bc1f6e893c63285d8d12f1a721bb00c23,APT 1,7018,['ENGLISH US'],"['KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
15dac682da542ed1a901d1889d68d1ec22189b45,Gorgon Group,4480,"['NEUTRAL', 'ENGLISH US']",['MSVBVM60.DLL']
736b3840258423709a60321bcaf083083ebf598f,APT 1,18271,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'LZ32.dll', 'MSVCRT.dll']"
95ae603333f702c6d6ab8949c0712572cd8dc5b5,APT 10,8022,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['ADVAPI32.dll', 'KERNEL32.dll', 'USER32.dll']"
58709d1bde2d350e4e0128308790f2a3022747cc,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
45702df94771c9fbf7d832b7ab99072e981ef44a,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
caff3dc964be354a21dffe1e99d1a6eb2c9e5a01,Dark Hotel,9040,[],"['iphlpapi.dll', 'WININET.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'SHELL32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'USER32.dll']"
53140342b8fe2dd7661fce0d0e88d909f55099db,APT 29,8204,[],[]
ed42ff3444aaac12efb043bc1d3c8e2615e970c4,APT 21,7334,['ENGLISH UK'],"['SHELL32.dll', 'MSVCP60.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ole32.dll']"
332aac7bdb0f697fd96e35c31c54d15e548061f4,APT 29,94480,"['RUSSIAN', 'ENGLISH US']","['GDI32.dll', 'SHELL32.dll', 'KERNEL32.DLL', 'Secur32.dll', 'CRYPT32.dll', 'ADVAPI32.dll', 'RPCRT4.dll', 'ole32.dll', 'WS2_32.dll', 'USER32.dll', 'WTSAPI32.dll']"
073faad9c18dbe0e0285b2747eae0c629e56830c,APT 29,42933,[],"['KERNEL32.dll', 'ole32.dll', 'USER32.dll', 'OLEAUT32.dll']"
62b06074e523228608836252ab45a2e688023c3d,APT 1,10678,[],"['urlmon.dll', 'WININET.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'SHELL32.dll']"
d79e1029c401bb8c05572647647cb95db75913f4,APT 19,44134,['ENGLISH US'],"['dbghelp.dll', 'urlmon.dll', 'IPHLPAPI.DLL', 'KERNEL32.dll', 'ADVAPI32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'USER32.dll']"
4d5e923351f52a9d5c94ee90e6a00e6fced733ef,APT 28,14206,[],"['ADVAPI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'USER32.dll']"
e99a03ebe3462d2399f1b819f48384f6714dcba1,APT 29,119608,['ENGLISH US'],"['COMDLG32.dll', 'GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'SHELL32.dll', 'ole32.dll', 'SHLWAPI.dll', 'USER32.dll', 'COMCTL32.dll']"
4c9c7c4fd83edaf7ec80687a7a957826de038dd7,APT 28,14106,[],"['KERNEL32.dll', 'SHLWAPI.dll']"
f293a2bfb728060c54efeeb03c5323893b5c80df,APT 28,,[],[]
11b5cfb37efb45d2c721cbf20cab7c1f5c1aa44b,APT 29,220224,['RUSSIAN'],"['WININET.dll', 'CRYPT32.dll', 'ADVAPI32.dll', 'KERNEL32.DLL', 'Secur32.dll', 'OLEAUT32.dll', 'SHELL32.dll', 'RPCRT4.dll', 'ole32.dll', 'WS2_32.dll', 'USER32.dll', 'WTSAPI32.dll']"
81ac03ef76e86ae3dac13b8696c921bd56f15268,Winnti,9805,[],"['KERNEL32.dll', 'MSVCRT.dll', 'USER32.dll']"
c6472898e9085e563cd56baeb6b6e21928c5486d,APT 29,14536,"['NEUTRAL', 'ENGLISH US']","['KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'USER32.dll']"
7a9fc4f7777c4f3c6732189c4794df46b60e4af7,APT 10,88013,['ENGLISH US'],"['OLEAUT32.dll', 'GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'WINSPOOL.DRV', 'SHELL32.dll', 'WS2_32.dll', 'USER32.dll', 'OLEACC.dll']"
83d419bc812d08c9d09baa49a4313a81eda54702,APT 10,7595,['ENGLISH US'],"['ADVAPI32.dll', 'KERNEL32.dll', 'USER32.dll']"
94b092cbf20a33abeb8242f651fff7368aa8a97c,Gorgon Group,,[],[]
6b3b42f584b6dc1e0a7b0e0c389f1fbe040968aa,APT 29,51810,[],"['ADVAPI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'ole32.dll', 'USER32.dll']"
451dae418e33c66d99ef1107fc2018b3e45fea28,APT 1,13308,[],"['WININET.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll', 'WS2_32.dll', 'USER32.dll']"
30d58295315c15537475a31685bdf53f1e709740,Gorgon Group,,[],[]
f1ee563d44e2b1020b7a556e080159f64f3fd699,APT 28,83741,['ENGLISH US'],"['gdiplus.dll', 'GDI32.dll', 'KERNEL32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'PSAPI.DLL', 'USER32.dll']"
572caa09f2b600daa941c60db1fc410bef8d1771,APT 30,54912,['CHINESE SIMPLIFIED'],"['MPR.dll', 'KERNEL32.DLL', 'MSVCRT.dll', 'ADVAPI32.dll', 'SHLWAPI.dll', 'WS2_32.dll']"
3794c94358e2855eba6819afedcb9edba3634aed,APT 1,9788,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WININET.dll', 'USER32.dll']"
72dc23f99bc6192f6ccfc8456a76eff00adc9700,APT 1,10927,['ENGLISH US'],"['urlmon.dll', 'WININET.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'Secur32.dll', 'ADVAPI32.dll']"
54b098f50c59f5ced1d782eb32907e6c6f070f78,APT 30,10146,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['SHELL32.dll', 'MFC42.DLL', 'KERNEL32.dll', 'MSVCRT.dll', 'ole32.dll']"
635afd8cdf2e1d86f8efdd74f6beb8cefeb57b32,APT 1,15628,['CHINESE SIMPLIFIED'],"['SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WININET.dll', 'USER32.dll']"
04301b59c6eb71db2f701086b617a98c6e026872,APT 28,12570,[],"['MSVCP60.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WININET.dll']"
312b37b89050a010f47e0500cbef15845928047b,APT 10,13104,"['TURKISH DEFAULT', 'NEUTRAL', 'CHINESE SIMPLIFIED']","['MFC42.DLL', 'KERNEL32.dll', 'MSVCRT.dll', 'GDI32.dll', 'USER32.dll']"
ee922a7286c25d2115bd6089e3c4b05ddc154a0a,Gorgon Group,,[],[]
52164782fc9f8a2a6c4be2b9cd000e4a60a860ed,APT 29,76193,[],"['urlmon.dll', 'iphlpapi.dll', 'CRYPT32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'PSAPI.DLL', 'USER32.dll']"
382f37805cd0b8b42e29aea3e22fc668553a36e3,Gorgon Group,,[],[]
20d892167de0fdd2f6ba99284cbe915a1cec1647,Gorgon Group,30350,"['GERMAN', 'NEUTRAL']",['mscoree.dll']
951cfa2ae5234eab2e335a0b7e13499e52a30ea2,APT 10,14832,['CHINESE SIMPLIFIED'],"['MFC42.DLL', 'KERNEL32.dll', 'MSVCRT.dll', 'USER32.dll']"
ee88c3edaa0f7a1372033c4a9a4f4ccc69c7ae29,Gorgon Group,,[],[]
52fc1960f2d1b3d61ea0d89a0702415683ad6c91,Winnti,27041,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'SHELL32.dll', 'SHLWAPI.dll', 'USER32.dll']"
b1327bd22dc28658924f724764cedbf01c487aef,Gorgon Group,,[],[]
351d7953f51a197d96c324d549310f7173568c4d,Gorgon Group,4736,"['NEUTRAL', 'ENGLISH US']",['MSVBVM60.DLL']
0e73e423e822ef6ef1f09b8520c728b8b6831af2,Gorgon Group,,[],[]
78ca184395da8cdd4e4770ba83a4c234f72d3a31,Winnti,18512,['ENGLISH US'],"['SHELL32.dll', 'KERNEL32.dll', 'USER32.dll']"
56f8d850e055454a9e9007fca9c71773fbf38af8,APT 10,27295,['ENGLISH US'],"['ntdll.dll', 'KERNEL32.dll', 'msvcrt.dll', 'NETAPI32.dll', 'WLDAP32.dll']"
b6d57573dd36ed341bdc57ae94a333060da0f4ca,Winnti,106887,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['WTSAPI32.dll', 'WININET.dll', 'KERNEL32.dll', 'WSOCK32.dll', 'ADVAPI32.dll', 'SHLWAPI.dll', 'USER32.dll', 'USERENV.dll']"
fdfec042f79e2fd9989d58de6f457591a7a71c9d,APT 1,7977,['CHINESE SIMPLIFIED'],"['KERNEL32.dll', 'LZ32.dll']"
15201766bd964b7c405aeb11db81457220c31e46,APT 28,,[],[]
a0e784ef05ee6e6641ce18cff7ad3e09e5d85774,Gorgon Group,703648,"['NEUTRAL', 'ENGLISH US']","['oleaut32.dll', 'version.dll', 'gdi32.dll', 'shell32.dll', 'kernel32.dll', 'winspool.drv', 'advapi32.dll', 'ole32.dll', 'comctl32.dll', 'user32.dll', 'msimg32.dll']"
fab4b82cea1dd56c3a70d3b101c650a182524992,Winnti,14057,[],"['KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll', 'MFC42.DLL', 'ole32.dll', 'USER32.dll']"
7ee09983b86b9fc19d05d24d986f2b8963b5ebf8,Gorgon Group,,[],[]
eb56a5a7f9ce9790d90c25ea026cec85c588ec0a,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
3ee5e964f0a751e93a2a56f7d09a8154182b6056,APT 19,28734,['ENGLISH US'],"['HAL.dll', 'ntoskrnl.exe']"
fd8814b5889cce9376118d9628cb642542c950c0,APT 21,5014,['CHINESE SIMPLIFIED'],"['KERNEL32.dll', 'MSVCRT.dll']"
dac79ab03946935b2a67dd6d068528279991866d,Winnti,92112,[],"['ADVAPI32.dll', 'KERNEL32.DLL', 'WS2_32.dll']"
261a5bb331b5145ef19076b3d4d9679017bdcd34,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
b6e19a9e0fb88e8644a019655ff756a50bd0fc33,Gorgon Group,,[],[]
e47fe56da3d401ecde2794efd556bfdf30e65f34,Gorgon Group,,[],[]
eea5d2ba3b30e47ace3c9cca27d184ec6b605cd2,Winnti,14281,[],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ole32.dll', 'USER32.dll']"
e76da232ec020d133530fdd52ffcc38b7c1d7662,APT 29,119608,['ENGLISH US'],"['COMDLG32.dll', 'GDI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'USER32.dll', 'COMCTL32.dll']"
342608591d99ca8f9b7e80a3ef02f60d818d26da,APT 29,,[],[]
36c1aa1b9cc7ddae383f244a1b7222a326f832ea,Gorgon Group,53238,['NEUTRAL'],['mscoree.dll']
eb332c048acdb928868a85eda727c0c619c54421,APT 1,20071,[],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'WININET.dll']"
8a09faac1400ec14780e9fe6bee28d59e1c9767a,Gorgon Group,559192,"['NEUTRAL', 'ENGLISH US']","['version.dll', 'gdi32.dll', 'kernel32.dll', 'oleaut32.dll', 'advapi32.dll', 'ole32.dll', 'user32.dll', 'comctl32.dll']"
0bc8485ce6c24bb888e2329d479c9b7303bb98b4,APT 29,86276,['NEUTRAL'],"['MPR.dll', 'WININET.dll', 'CRYPT32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'Secur32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'RPCRT4.dll', 'ole32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'USER32.dll', 'WTSAPI32.dll']"
cab8baf512f2253f3ec188bc8f463fbad9da5e7d,Energetic Bear,129578,['ENGLISH US'],"['ADVAPI32.dll', 'KERNEL32.dll', 'ole32.dll', 'CRYPT32.dll', 'WININET.dll']"
27011d2fc22e894bd8a48de03a82b64f0bdbbacb,APT 1,251604,['FRENCH'],"['CRYPT32.dll', 'KERNEL32.dll', 'Secur32.dll', 'WTSAPI32.dll', 'ADVAPI32.dll', 'SHLWAPI.dll', 'USER32.dll']"
8c3ed0bbdc77aec299c77f666c21659840f5ce23,APT 29,55790,"['NEUTRAL', 'ENGLISH US']","['KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'USER32.dll']"
973afd5d36d68d956c0dd5e5cca8187227461ba9,APT 30,20159,['NEUTRAL DEFAULT'],"['SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WSOCK32.dll', 'ADVAPI32.dll', 'MFC42.DLL', 'SHLWAPI.dll', 'USER32.dll']"
6b27bc0b0460b0a25b45d897ed4f399106c284d9,APT 30,32239,['ENGLISH US'],"['MPR.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WSOCK32.dll', 'NETAPI32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll']"
daad1c312b0fc835a9942ad00a98fa104ea7ec3b,Gorgon Group,,[],[]
84c03fc6ee4f758fa6ffeed8ae564e83280ad5c9,APT 21,6692,"['NEUTRAL', 'ENGLISH US']","['SHELL32.dll', 'KERNEL32.dll']"
31fbc571213e73817243af8ab516e98724869c4f,Dark Hotel,30331,['KOREAN'],"['GDI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'WINSPOOL.DRV', 'ADVAPI32.dll', 'ole32.dll', 'USER32.dll', 'COMCTL32.dll']"
fdb5e6783208a9aab6b427f1e9d8af686fda2dc8,Gorgon Group,4812,"['NEUTRAL', 'ENGLISH US']",['MSVBVM60.DLL']
5e7cb268c95880871dbe05d8108a711a360c0f62,APT 1,35482,['ENGLISH US'],"['WININET.dll', 'CRYPT32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'NETAPI32.dll', 'ADVAPI32.dll', 'WS2_32.dll', 'USER32.dll']"
d64945b015034188e7993ef505df428d4797bb7e,Dark Hotel,18463,['KOREAN'],"['comdlg32.dll', 'WININET.dll', 'GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'WINSPOOL.DRV', 'SHELL32.dll', 'ole32.dll', 'WS2_32.dll', 'USER32.dll', 'COMCTL32.dll']"
921a88a1bb7ec23e72b8748891d0b20313ccbc51,APT 1,11887,['ENGLISH US'],"['urlmon.dll', 'WININET.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'Secur32.dll', 'ADVAPI32.dll']"
e9b4ca19f2aae88b65daff19be471f253826bef5,Gorgon Group,,[],[]
dcc8e773c18a6885f7b5b896796e7c2501ad7735,Gorgon Group,405552,"['NEUTRAL', 'ENGLISH US']","['comdlg32.dll', 'version.dll', 'gdi32.dll', 'kernel32.dll', 'oleaut32.dll', 'advapi32.dll', 'user32.dll', 'comctl32.dll']"
9180d75daba2f1abd75519a0e94a2b871ded1c53,Gorgon Group,,[],[]
7d18b51679cc437e58876976b325004ff00f1d2d,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
c94ce4762181418d7b2d9d979eb8e4aeae20585d,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
170d8bc744fa20ca71770c232d1e742e3ed070e7,APT 21,16505,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['ADVAPI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'USER32.dll']"
38dfc768e3e894dd7f423647c5a98a62dbb66883,Energetic Bear,129578,['ENGLISH US'],"['ADVAPI32.dll', 'KERNEL32.dll', 'ole32.dll', 'CRYPT32.dll', 'WININET.dll']"
c70ddac2953a8fe50351287055ea6fb732b7b8cc,Energetic Bear,139588,['ENGLISH US'],"['WININET.dll', 'CRYPT32.dll', 'KERNEL32.dll', 'ADVAPI32.dll', 'ole32.dll', 'USER32.dll']"
0cb9a750760b2d2840a286ea89cccb128e93f821,Gorgon Group,502356,"['NEUTRAL', 'ENGLISH US']","['comdlg32.dll', 'version.dll', 'gdi32.dll', 'kernel32.dll', 'oleaut32.dll', 'advapi32.dll', 'user32.dll', 'comctl32.dll']"
b28b6530326db3f5025451d439d75b53eeee278d,Winnti,10136,['ENGLISH US'],['KERNEL32.dll']
e174e8852dce18d7c8390d4dac7716763da3923b,Winnti,14057,[],"['KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll', 'MFC42.DLL', 'ole32.dll', 'USER32.dll']"
83092d1431354a29f2c37a9c0686e6b9d300e675,Gorgon Group,387032,"['NEUTRAL', 'ENGLISH US']","['comdlg32.dll', 'version.dll', 'gdi32.dll', 'kernel32.dll', 'oleaut32.dll', 'advapi32.dll', 'user32.dll', 'comctl32.dll']"
155004c1cc831a7f39caf2bec04f1841b61af802,APT 29,76736,[],"['iphlpapi.dll', 'CRYPT32.dll', 'ADVAPI32.dll', 'KERNEL32.DLL', 'OLEAUT32.dll', 'SHELL32.dll', 'ole32.dll', 'WS2_32.dll', 'PSAPI.DLL', 'USER32.dll']"
8351103946b0664ace5384b09a978fdf49c85b90,APT 1,13202,['ENGLISH US'],"['urlmon.dll', 'WININET.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'Secur32.dll', 'SHELL32.dll', 'USERENV.dll']"
9bab491ff793e541421e38f2b10b81e21e876c42,Gorgon Group,,[],[]
3556253b14745702aee2951fe21db2c1a47472e3,Energetic Bear,160729,['ENGLISH US'],"['WININET.dll', 'CRYPT32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'ADVAPI32.dll', 'ole32.dll', 'WS2_32.dll', 'USER32.dll']"
94cd22a1c07ec9d9e8081db872b2b58e14dd29bf,Dark Hotel,18223,['KOREAN'],"['comdlg32.dll', 'WININET.dll', 'GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'WINSPOOL.DRV', 'SHELL32.dll', 'ole32.dll', 'WS2_32.dll', 'USER32.dll', 'COMCTL32.dll']"
a40e21952897813d7a1305e570d5af168c976a49,Gorgon Group,4259840,"['ENGLISH US', 'ENGLISH UK']","['kernel32.dll', 'comctl32.dll']"
0a41453e2b7a153264aceeef4f5b85575703398e,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
8cc33500b9589458e9c19e2ecc03d07445d44e2f,Gorgon Group,396884,"['NEUTRAL', 'ENGLISH US']","['comdlg32.dll', 'version.dll', 'gdi32.dll', 'kernel32.dll', 'oleaut32.dll', 'advapi32.dll', 'user32.dll', 'comctl32.dll']"
c96b9d0be3a6d7e08774938f8167456b9774f5cf,APT 1,11287,[],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'WININET.dll']"
49fb759d133eeaab3fcc78cec64418e44ed649ab,APT 29,5208,"['NEUTRAL', 'ENGLISH US']","['KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'USER32.dll']"
a9c61d6fd6de615196a6c38cf0d60ab0b5035a28,Winnti,1010624,"['NEUTRAL', 'ENGLISH US', 'CHINESE SIMPLIFIED']","['ADVAPI32.dll', 'SHELL32.dll', 'KERNEL32.DLL']"
aed0b93023256ee828ff4fc23ad6d9ad2d412cf5,Gorgon Group,,[],[]
6ba9eead97c325df72329e208d140a56cd574ddd,Gorgon Group,,[],[]
805939e975239110e2c27ae004af46813c6a213d,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
8403190b6a2f6445f77022cb5eaffdd858a5784a,APT 10,57354,['NEUTRAL'],['mscoree.dll']
daed0b0206620696b4f050b356243e3a9837bbb5,Gorgon Group,,[],[]
f3dcbc016393497f681e12628ad9411c27e57d48,APT 29,46696,[],['KERNEL32.dll']
2b1e7d54723cf9ee2fd133b8f17fa99470d7a51a,APT 29,139471,"['NEUTRAL', 'ENGLISH US']","['KERNEL32.dll', 'USER32.dll']"
9700c8a41a929449cfba6567a648e9c5e4a14e70,APT 29,50767,"['NEUTRAL', 'ENGLISH US']","['SHELL32.dll', 'KERNEL32.dll', 'USER32.dll']"
99c15a0d5f7d7446a39b47ff1c515674125b1ee6,APT 10,4096,[],"['KERNEL32.dll', 'USER32.dll']"
296fd4c5b4bf8ea288f45b4801512d7dec7c497b,APT 29,8204,[],[]
3c1ce6812eb7684de5da7a0841092418e1459ab2,Gorgon Group,58814,['NEUTRAL'],['mscoree.dll']
928bbf2150c1f5922979cbd785161e61ca566a4f,APT 1,45321,[],"['ADVAPI32.dll', 'KERNEL32.dll', 'CRYPT32.dll']"
479fa9ce5745526f3553603f825fcece63a861c9,Gorgon Group,452724,['NEUTRAL'],"['version.dll', 'gdi32.dll', 'kernel32.dll', 'oleaut32.dll', 'advapi32.dll', 'ole32.dll', 'user32.dll', 'comctl32.dll']"
31695c2b270f06b484663d48fc7fc1803473de3e,APT 1,15568,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'WININET.dll']"
72d97af0725d993e1679bdca183e7fd96a1378d4,APT 10,8342,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'MFC42.DLL', 'KERNEL32.dll', 'MSVCRT.dll', 'USER32.dll']"
3d3da687c20e3ad18fcbc0ce878bd795e16b292d,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
e71e0dbbd321a7c18669099c1b830c4799b44e22,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
a4742903f73797479e8d13e4619beb2a3d07ef53,APT 1,11823,['ENGLISH US'],"['urlmon.dll', 'WININET.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'Secur32.dll', 'ADVAPI32.dll']"
04b754e6986f8d2ce5fda827e14bd1b180fd0275,Energetic Bear,150125,['ENGLISH US'],"['WININET.dll', 'CRYPT32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'SHELL32.dll', 'ole32.dll', 'USER32.dll']"
f09780ba9eb7f7426f93126bc198292f5106424b,APT 28,107544,[],"['WININET.dll', 'KERNEL32.dll', 'ADVAPI32.dll', 'WS2_32.dll', 'USER32.dll', 'WINHTTP.dll']"
6b7a4ccd5a411c03e3f1e86f86b273965991eb85,APT 29,58459,"['NEUTRAL', 'ENGLISH US']","['KERNEL32.dll', 'USER32.dll']"
bdfc75c92c878c4d0ee0c2536052975fe7408d71,APT 10,8022,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['ADVAPI32.dll', 'KERNEL32.dll', 'USER32.dll']"
84f1c68a05d7acc4d46546c055a1fa61147e704b,Gorgon Group,,[],[]
c4e181f24563804cb67f5ff89262b18faa91ac2d,Winnti,2119427,['ENGLISH US'],"['AVICAP32.dll', 'VERSION.dll', 'GDI32.dll', 'DNSAPI.dll', 'SHELL32.dll', 'KERNEL32.dll', 'Secur32.dll', 'WTSAPI32.dll', 'NETAPI32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'PSAPI.DLL', 'USER32.dll', 'USERENV.dll']"
31a54e465419b321efc5fe18ab642e6c84283411,Winnti,7831,[],"['KERNEL32.dll', 'MSVCRT.dll', 'USER32.dll']"
b8b1d2a5cf5f78a0e58cd20885da1393bf4d7ac7,Gorgon Group,24574,[],['mscoree.dll']
0d55b66b0416ff1093187d9a68724b80c72ed88d,Dark Hotel,967248,['RUSSIAN'],"['SHELL32.dll', 'KERNEL32.dll', 'WINMM.dll', 'USER32.dll', 'GDI32.dll']"
3295364b89ddeec45fbcdf777ce47d031692d566,APT 1,6877,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll']"
1b76d88942096ec3a708b29b442005efd601b5c6,APT 10,8598,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'MFC42.DLL', 'KERNEL32.dll', 'MSVCRT.dll', 'USER32.dll']"
8fcc19c326d22a671289d9cdea076cd37eaea5b2,Gorgon Group,5052,"['NEUTRAL', 'CHINESE SIMPLIFIED']",['MSVBVM60.DLL']
fb8430d71719b6a3bf4d25d0c38a4260be8d38c2,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
936ccbefadcdf82a66f61593632a11d83b9ed112,APT 1,7151,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WININET.dll', 'USER32.dll']"
6237badbd81a75f5badd5095ada5d40b2fae1699,Winnti,10152,['ENGLISH US'],['KERNEL32.dll']
5efaf7b85678895b38d12a571c0e0bc1028d21fb,APT 10,12687,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['MFC42.DLL', 'KERNEL32.dll', 'MSVCRT.dll', 'USER32.dll']"
657d0b1c47ef045e6f567be3188bc4e9bdac4cfd,Gorgon Group,4480,"['NEUTRAL', 'ENGLISH US']",['MSVBVM60.DLL']
30b3e8c0f3f3cf200daa21c267ffab3cad64e68b,APT 28,,[],[]
52b075a34f8f41b3c296f27ee0a7150884d9d5ec,Gorgon Group,,[],[]
a0f02ecea98b022ccc20fbb176947c30cfd26fc2,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
224db86deb36caa8a9e079b32eccaa68f13579c8,Gorgon Group,,[],[]
46004c1f23f9da443d81e9d25c2a933fcaa1fcb6,Winnti,382317,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['imagehlp.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'SHELL32.dll', 'SHLWAPI.dll', 'USER32.dll', 'WINHTTP.dll']"
5ccff14ce7c1732fadfe74af95a912093007357f,APT 29,43109,[],"['KERNEL32.dll', 'ole32.dll', 'USER32.dll', 'OLEAUT32.dll']"
2d2d3a6357a11d3c3b93b84714eab031e02222f6,Gorgon Group,,[],[]
71202bd9ef0b6ab7c3fadce9d638fd0d22388577,Gorgon Group,,[],[]
